id,Tenure Months,Total Charges,Senior Citizen,Partner,Dependents,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Internet Service,Churn_Value
4490,70,6333.4,1,1,0,1,1,1,1,1,1,2,0,4,1,0
6725,14,979.5,0,1,0,0,0,0,1,1,0,3,1,4,1,0
2538,53,5682.25,0,0,0,0,1,1,0,1,1,2,0,2,2,0
5420,34,3946.9,0,0,1,1,1,1,1,1,1,2,1,4,2,0
4865,68,5515.8,0,1,0,1,1,0,1,1,1,2,1,3,1,0
133,27,1929.35,1,1,0,1,0,0,0,0,0,3,1,3,2,1
5190,61,6449.15,0,1,1,0,1,1,1,1,1,1,0,4,2,0
426,56,5508.35,0,1,0,0,1,0,0,1,1,1,1,2,2,1
2057,41,2531.8,0,0,0,0,0,1,0,0,1,1,0,1,1,0
1581,14,1139.2,0,1,0,0,0,0,0,0,1,3,1,2,2,1
259,2,119.75,0,0,0,0,0,0,0,0,0,3,0,2,2,1
6507,71,7707.7,0,1,0,0,1,1,1,1,1,2,0,2,2,0
3253,72,8086.4,0,1,0,1,1,1,1,1,1,2,1,4,2,0
6610,17,920.5,0,1,1,1,0,0,1,0,0,3,1,4,1,0
3003,72,5730.15,0,1,0,0,1,0,1,1,1,2,1,2,1,0
4388,29,2621.75,0,1,1,0,0,0,0,1,1,3,1,4,2,0
3029,47,4391.45,0,1,1,1,1,1,0,0,1,1,1,2,2,0
912,1,75.35,1,0,0,0,0,0,0,0,0,3,1,2,2,1
5901,33,2576.8,0,0,0,0,1,1,0,0,0,3,1,4,2,0
535,1,45.3,0,0,0,0,0,0,0,0,0,3,1,1,1,1
6102,15,1392.25,1,1,0,1,0,1,0,1,0,3,1,2,2,0
4414,39,3213.75,0,0,0,0,1,0,0,0,0,1,0,4,2,0
636,18,1527.35,0,0,0,0,1,0,0,1,0,3,1,4,2,1
1198,2,116.65,0,0,0,0,0,0,0,0,0,3,1,2,2,1
3071,38,4009.2,1,1,0,0,1,1,0,1,1,3,1,2,2,0
4185,14,1117.55,0,0,0,0,0,1,0,0,0,3,0,2,2,0
234,3,205.05,1,0,0,0,1,0,0,0,0,3,1,2,2,1
5665,65,6347.55,0,1,0,1,1,1,0,1,0,2,1,2,2,0
1784,4,184.4,0,0,1,1,0,0,0,0,0,3,1,2,1,1
467,12,947.3,0,0,0,0,0,0,0,0,1,3,0,3,2,1
6061,15,1155.6,0,1,1,0,1,1,1,1,1,3,0,3,1,0
6915,48,2985.25,0,1,0,1,0,0,1,0,0,1,1,3,1,0
5898,26,1553.2,0,0,0,0,1,1,0,0,0,1,1,1,1,0
6678,34,2053.05,0,0,0,1,1,0,0,0,1,1,0,2,1,0
6166,53,3827.9,0,1,1,1,0,0,1,0,1,3,0,2,1,0
5712,37,3382.3,0,0,0,1,1,1,0,0,0,3,0,3,2,0
6192,65,4386.2,0,1,0,1,1,1,0,0,1,2,0,3,1,0
753,1,71,1,0,0,0,0,0,0,0,0,3,1,2,2,1
4952,12,828.05,1,0,0,0,0,0,0,0,0,3,1,4,2,0
821,17,1144.5,0,0,0,0,0,0,0,0,0,3,1,2,2,1
1274,38,3233.6,0,0,0,1,1,1,0,0,0,3,1,4,2,1
1575,18,1422.65,1,1,0,0,0,0,0,0,1,3,0,2,2,1
5162,18,1468.75,0,1,0,0,0,1,1,0,0,3,0,2,2,0
6870,27,1793.25,0,0,0,0,0,0,0,0,0,3,1,1,2,0
1529,5,474.8,0,0,0,0,0,0,0,1,0,3,1,2,2,1
3249,51,4539.35,0,1,1,1,1,0,0,0,1,3,1,2,2,0
2293,71,4973.4,0,1,0,1,0,1,1,0,1,2,1,4,1,0
228,12,1120.95,0,0,0,1,0,0,1,1,1,3,1,3,2,1
1029,47,5127.95,0,0,0,0,1,1,0,1,1,3,1,2,2,1
3227,54,4931.8,1,0,0,0,1,0,0,0,1,3,1,2,2,0
3280,72,7657.4,0,1,1,1,1,1,1,1,0,2,0,4,2,0
3099,72,5016.65,0,1,0,1,1,1,1,0,0,2,0,4,1,0
2142,71,6962.85,0,1,0,0,0,1,0,1,1,1,1,4,2,0
368,41,3001.2,0,1,0,0,0,1,0,1,1,1,1,2,1,1
3364,1,74.3,1,1,0,0,0,0,0,0,0,3,0,2,2,0
3917,67,4868.4,0,1,1,1,1,0,1,1,0,2,0,4,1,0
728,4,396.3,0,0,0,0,0,1,1,1,1,3,1,3,2,1
4806,14,1337.45,0,0,0,0,0,0,0,1,1,3,1,2,2,0
5895,62,3846.75,0,0,0,1,0,0,1,0,1,2,1,1,1,0
3463,62,4985.9,0,1,0,1,0,1,1,1,1,2,0,1,1,0
135,34,3480,0,1,0,0,0,1,0,1,1,3,1,2,2,1
1123,2,114.7,0,0,0,0,1,0,0,0,0,3,1,1,1,1
5932,1,48.45,0,0,0,1,0,0,0,0,0,3,1,3,1,0
5259,68,5560,0,1,1,0,1,1,1,1,1,2,0,3,1,0
7042,66,6844.5,0,0,0,1,0,1,1,1,1,2,1,3,2,0
3252,43,3574.5,0,1,0,1,1,0,1,1,1,2,0,4,1,0
4309,68,8035.95,0,0,0,1,1,1,1,1,1,1,1,4,2,0
1268,37,2841.55,1,0,0,0,0,0,0,0,0,3,1,2,2,1
6313,12,893,0,0,1,0,0,0,0,0,0,3,1,2,2,0
4823,2,117.05,0,0,0,0,0,0,1,0,0,3,1,1,1,0
6268,17,1387.35,0,0,0,1,1,0,1,1,1,1,0,4,1,0
2093,4,356.65,0,0,0,0,0,1,1,0,1,3,1,2,2,0
5366,56,4620.4,0,1,1,1,1,1,1,1,0,2,0,4,1,0
2160,2,89.3,1,0,0,0,0,0,0,0,0,3,1,2,1,0
5715,72,7852.4,0,1,0,1,1,0,1,1,1,2,1,4,2,0
3831,39,2209.15,0,0,0,0,0,0,1,0,1,1,0,2,1,0
2447,22,1600.25,0,0,0,0,1,0,0,0,0,3,1,1,2,0
1927,8,482.25,0,1,1,1,1,0,0,0,0,3,0,1,1,0
1845,25,2196.15,1,0,0,0,1,0,0,1,0,3,1,2,2,1
6897,67,5798.3,0,1,0,0,1,0,0,1,0,1,1,3,2,0
5264,45,4747.85,0,0,0,0,0,1,1,1,1,3,1,3,2,0
3950,4,220.65,0,0,0,1,1,0,0,0,0,3,0,2,1,0
4781,63,6296.75,0,1,0,0,0,1,0,1,1,2,0,2,2,0
911,9,754.65,0,1,0,0,0,0,0,1,0,3,1,3,2,1
2727,60,5475.9,0,1,0,1,1,0,0,0,1,3,1,4,2,0
1323,2,195.05,1,0,0,0,0,0,0,0,1,3,1,2,2,1
3119,63,4707.85,0,1,0,1,1,1,1,1,0,2,0,4,1,0
1009,4,420.2,0,1,0,0,1,0,0,1,1,3,1,2,2,1
4939,65,4309.55,0,1,0,1,1,1,0,0,0,1,0,4,1,0
6795,5,500.1,0,0,0,0,1,1,0,0,1,3,0,2,2,0
86,68,5293.95,0,1,0,0,1,1,1,0,1,1,1,3,1,1
6407,45,3480.35,1,1,0,1,0,1,1,0,1,2,0,4,1,0
6938,22,2090.25,0,1,1,0,1,1,0,1,1,1,1,1,2,0
4557,30,3121.1,1,0,0,0,1,1,0,1,1,3,1,2,2,0
2103,5,341.6,1,1,0,0,0,0,0,0,0,3,1,2,2,0
6385,6,276.5,1,0,0,0,0,0,0,0,0,3,0,4,1,0
5037,10,492.1,0,0,0,0,0,0,0,0,0,3,0,1,1,0
2697,20,1493.55,0,0,0,0,0,0,0,0,0,3,0,4,2,0
5690,53,5718.2,0,1,0,0,1,1,1,1,1,1,1,3,2,0
4684,72,5763.15,0,1,0,1,1,1,1,0,1,2,0,3,1,0
574,7,527.9,1,1,0,0,0,0,0,0,0,3,1,1,2,1
4018,32,2970.8,1,1,0,0,1,1,0,0,1,3,1,2,2,0
5336,49,5174.35,0,1,0,1,1,1,1,0,1,2,0,4,2,0
1752,1,69.9,0,1,0,0,0,0,0,0,0,3,1,1,2,1
6303,41,1841.9,0,0,1,0,0,0,0,0,0,3,0,3,1,0
6873,19,1686.85,0,1,1,0,0,0,1,0,1,1,1,3,2,0
5787,69,5555.3,0,0,0,1,0,1,1,1,1,2,1,4,1,0
5954,14,1043.8,1,0,0,1,1,0,0,0,0,3,0,2,2,0
4404,2,157.75,0,0,0,0,0,0,0,0,0,3,1,4,2,0
714,1,44.4,0,0,0,0,0,0,0,0,0,3,0,1,1,1
4884,3,214.4,0,0,0,1,0,0,1,0,0,3,1,1,2,0
1790,61,6876.05,0,0,0,1,0,1,1,1,1,2,1,4,2,1
1711,1,69.2,0,0,0,0,0,0,0,0,0,3,1,2,2,1
